GameID,Name,RTP,Betways,Hitrate,Volatility,Type_CRASHGAMES,Type_VIDEOSLOTS,Provider_AspectGames,Provider_EsaGaming,Provider_Habanero,Provider_Kalamba,Provider_NetGaming,Provider_OneXTwoGaming,Provider_OnlyPlay,Provider_Platipus,Provider_PlaySon,Provider_PragmaticPlay,Provider_RGS_Matrix,Provider_SmartSoft,Provider_SpadeGaming,Provider_Spinomenal,Provider_Spribe,Provider_StakeLogic,Provider_iMoon,Features_Free Spins,Features_Wild Symbol,Features_Multiplier,Features_Scatter Symbol,Features_Buy Feature,Features_Bonus Round,Features_Gamble,Features_Expanding Wild Symbol,Features_Megaways,Features_Respins,Features_In-game Jackpot,Features_Gamble Feature,Features_Sticky Symbols,Features_Random Collectible,Features_Random Collectibles,Features_Lucky Wheel,Features_Scatter Symbols,Features_Clusters,Features_Supermeter,Features_Stage only,Features_Jackpot,Features_In Review,Features_Build up,Features_Mermaids,Features_Halloween,Themes_Animals,Themes_Fruits,Themes_Classic,Themes_Treasure,Themes_Action,Themes_Mythology,Themes_Fantasy,Themes_Adventure,Themes_Asian,Themes_Fishing,Themes_Egyptian,Themes_Christmas
em:37051,Festival of Fortune,0.9593,15,0.188088742,491.7173345,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
em:44830,Big Bass Bonanza Megaways,0.967,46656,0.133217255,1119.727198,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
em:37927,Big Bass Bonanza,0.9671,10,0.118159868,924.5573884,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
em:35327,African Fortune,0.958,100,0.157966158,252.2987067,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
em:47109,Spaceman,0.955,25,0.266403701,3802.433308,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
em:60510,Wild Wild Bass 3™,0.9604,2304,0.220112334,1752.23411,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
em:36834,ZEUS,0.9698,25,0.294912589,770.6212107,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
em:17133,Book of Adventure,0.9621,10,0.236160892,1022.394387,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
em:36811,888,0.9609,1,0.100824744,1003.512156,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
em:60805,Dragon Flare,0.99,25,0.199848312,3038.064147,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
